%!I(MISSING)D	X	Y	Z	SNR
511	-6.417155	135.364152	1.100000	13.31
512	-76.591599	122.310122	1.100000	12.29
513	-280.261081	57.882494	1.100000	-0.28
514	-118.046730	-193.074253	1.100000	4.46
515	118.333134	-213.193526	1.100000	2.99
516	114.962095	-189.171241	1.100000	4.88
517	110.556151	242.896817	1.100000	1.13
518	-111.136104	-62.677415	1.100000	14.25
519	217.810514	-41.057626	1.100000	4.89
520	-6.269106	146.022145	1.100000	12.10
521	-221.260589	3.694218	1.100000	4.88
522	198.620112	-115.556545	1.100000	4.33
523	-59.760855	-176.123318	1.100000	8.06
524	61.919792	28.609107	1.100000	23.33
525	286.946498	-118.884218	1.100000	-1.67
526	-186.427948	14.441086	1.100000	7.95
527	-89.344341	246.561239	1.100000	1.57
528	-159.947282	-87.231578	1.100000	8.45
529	128.983179	-223.494009	1.100000	1.82
530	153.405317	-45.791823	1.100000	10.61
531	186.317523	-205.558724	1.100000	0.41
532	162.770780	137.434624	1.100000	5.68
533	121.573769	215.040281	1.100000	2.72
534	212.586534	182.911180	1.100000	0.38
535	-131.192710	-165.170562	1.100000	5.80
536	-295.329880	165.011869	1.100000	-3.31
537	98.759116	5.761822	1.100000	18.11
538	-31.219164	177.844500	1.100000	8.59
539	-153.268714	-137.381158	1.100000	6.29
540	-225.514939	161.011935	1.100000	0.72
541	-299.828297	-12.163097	1.100000	-1.60
542	-194.746150	-168.525391	1.100000	2.09
543	-180.293325	103.092560	1.100000	6.16
544	-81.078985	-219.416357	1.100000	3.86
545	-160.589610	187.329533	1.100000	2.82
546	188.864332	225.549352	1.100000	-0.96
547	-12.656194	-92.133093	1.100000	19.02
548	-241.252007	123.521088	1.100000	1.19
549	-92.492998	119.949578	1.100000	11.51
550	247.997876	-110.043083	1.100000	1.14
551	279.589381	-14.385994	1.100000	0.04
552	-29.826649	213.489711	1.100000	5.48
553	-159.005304	-196.152631	1.100000	2.33
554	-236.511784	-43.169897	1.100000	3.33
555	277.836788	-9.024658	1.100000	0.19
556	-10.380370	-63.722383	1.100000	24.05
557	-132.676616	146.972771	1.100000	6.96
558	-106.992048	216.952322	1.100000	3.16
559	176.928256	244.460212	1.100000	-1.68
560	197.565131	-21.972684	1.100000	6.87
561	-301.770964	144.397116	1.100000	-3.15
562	172.849305	-226.322669	1.100000	-0.28
563	791.618999	198.122599	1.100000	-100.00
564	522.144888	-297.706156	1.100000	-100.00
565	366.041871	142.239291	1.100000	-100.00
566	655.406091	-112.476264	1.100000	-100.00
567	731.506708	17.646650	1.100000	-100.00
568	487.360695	130.104345	1.100000	-100.00
569	853.450085	132.650737	1.100000	-100.00
570	808.273810	-172.118432	1.100000	-100.00
571	331.345832	96.998604	1.100000	-100.00
572	873.893146	-60.692148	1.100000	-100.00
573	532.473971	-202.594797	1.100000	-100.00
574	587.598516	166.576175	1.100000	-100.00
575	677.994809	-266.318264	1.100000	-100.00
576	726.774721	214.370394	1.100000	-100.00
577	797.359714	-51.836705	1.100000	-100.00
578	376.540527	85.116045	1.100000	-100.00
579	452.062343	147.872911	1.100000	-100.00
580	608.276703	-222.257143	1.100000	-100.00
581	403.485844	17.720531	1.100000	-100.00
582	767.667974	200.750703	1.100000	-100.00
583	707.129429	170.344836	1.100000	-100.00
584	536.059396	238.664073	1.100000	-100.00
585	875.846331	-71.583500	1.100000	-100.00
586	462.487611	-125.129386	1.100000	-100.00
587	657.247885	5.495239	1.100000	-100.00
588	560.500448	-26.258712	1.100000	-100.00
589	737.834326	223.530956	1.100000	-100.00
590	372.650515	63.917888	1.100000	-100.00
591	650.598113	-250.537738	1.100000	-100.00
592	590.069163	189.419045	1.100000	-100.00
593	528.265838	-220.844097	1.100000	-100.00
594	602.451637	-222.002650	1.100000	-100.00
595	900.003973	-142.267445	1.100000	-100.00
596	570.360481	-250.468928	1.100000	-100.00
