%!I(MISSING)D	X	Y	Z	SNR
665	538.959477	196.263235	1.100000	17.64
666	575.100843	297.862820	1.100000	4.39
667	397.801956	154.543071	1.100000	8.51
668	421.849762	98.582464	1.100000	10.15
669	386.215321	114.112723	1.100000	5.16
670	406.526095	-59.070259	1.100000	3.93
671	729.982120	-137.225069	1.100000	4.50
672	522.816434	-34.006508	1.100000	20.08
673	721.772318	231.732737	1.100000	7.04
674	722.203040	164.032672	1.100000	-0.45
675	805.525399	194.466844	1.100000	3.61
676	415.428835	-50.707387	1.100000	4.53
677	678.663840	-247.703187	1.100000	2.65
678	359.860044	-24.355992	1.100000	5.46
679	473.498136	260.010728	1.100000	11.62
680	620.199910	-232.762439	1.100000	6.46
681	779.328096	-65.896323	1.100000	17.69
682	864.987714	14.326446	1.100000	14.77
683	534.025183	-300.320447	1.100000	6.55
684	616.486013	13.086024	1.100000	-4.09
685	855.183006	193.708417	1.100000	2.05
686	716.266485	-245.149233	1.100000	7.37
687	519.214732	-38.989939	1.100000	21.12
688	747.911337	-229.715778	1.100000	8.37
689	818.719628	73.525868	1.100000	13.96
690	560.878959	-230.930692	1.100000	12.76
691	523.372381	-26.586294	1.100000	17.79
692	696.097311	-55.612645	1.100000	22.57
693	509.356322	-194.508937	1.100000	17.68
694	754.580838	19.206083	1.100000	24.63
