TAG,SINR,DISTANCE,RXNODE,TXNODE
2,10.38,282.58,8954,36
2,14.52,290.78,9015,55
1,4.41,149.17,2160,4
0,-2.23,337.55,4273,27
2,14.84,263.81,5604,30
2,9.36,326.66,9552,6
2,26.90,101.85,3776,26
1,2.85,184.43,4726,28
2,16.68,120.01,9239,56
2,19.29,129.63,963,39
2,20.04,121.29,6632,13
2,27.33,143.79,8418,54
2,10.55,67.73,1613,3
0,-0.24,301.75,8928,36
2,15.26,127.58,3040,5
2,20.50,135.78,5985,30
1,4.88,122.70,2061,22
2,22.58,146.86,2675,24
2,14.08,266.28,7583,15
2,12.62,282.16,8739,36
0,-0.88,67.36,8986,36
2,6.14,287.16,7875,34
2,18.37,213.83,2815,5
2,12.98,179.55,4351,27
1,3.76,277.87,4470,27
0,-1.80,343.97,2120,4
1,1.18,365.33,2486,13
2,6.17,103.87,3087,25
2,21.91,153.66,3779,26
2,13.73,202.99,6576,32
2,14.72,66.24,321,0
1,5.96,242.41,896,1
2,7.22,206.93,1349,40
2,34.59,100.49,3890,7
2,6.76,215.20,7379,52
2,26.89,152.42,8736,17
2,16.03,213.49,3311,25
2,7.83,276.80,5600,11
2,10.07,321.69,6932,33
0,0.40,236.38,4738,47
2,13.20,141.76,7791,53
2,18.52,221.48,8880,55
1,2.57,262.95,2427,42
1,1.97,361.09,2919,14
2,11.48,243.25,3741,26
1,5.42,330.37,6194,23
1,1.17,275.60,8024,34
0,1.04,237.21,8260,16
2,23.12,166.78,1287,40
2,9.76,278.62,2393,42
1,5.00,337.41,2922,14
1,2.25,337.24,4524,2
2,15.08,293.42,4957,9
2,15.37,268.24,7725,34
2,29.38,154.34,7849,53
0,-2.13,67.53,465,0
1,4.49,317.54,1561,40
2,20.95,191.35,3595,26
1,4.96,279.44,2594,43
2,10.01,175.56,7433,14
0,0.72,64.59,7455,33
2,31.88,82.37,7778,53
2,15.08,216.73,8744,36
2,11.95,281.27,8980,17
2,12.79,306.24,4235,8
2,17.99,252.68,5103,29
2,9.61,338.15,7204,34
2,20.59,149.98,753,1
0,0.45,283.36,4533,8
2,16.18,173.56,8352,16
2,15.71,301.80,3614,7
1,1.21,361.66,6561,49
2,17.70,243.22,6898,32
0,-1.20,362.30,1676,12
1,5.39,203.85,3163,25
2,6.60,324.76,3299,36
2,21.32,164.68,3579,45
2,12.27,183.15,4808,28
2,21.13,209.88,7116,52
2,18.57,233.92,7165,52
1,4.39,394.37,8886,16
2,16.51,120.34,405,19
2,11.37,151.45,478,38
2,28.95,106.30,731,1
1,2.87,391.83,3887,1
2,26.44,112.45,5065,29
0,0.00,239.06,8996,17
0,-0.50,349.21,1628,48
2,18.45,70.87,2031,41
2,11.51,258.04,3437,44
1,3.20,169.55,6889,13
2,21.49,159.74,7606,15
2,12.82,250.41,3206,44
1,5.72,348.91,6144,49
2,14.77,249.83,6585,51
1,3.95,319.93,9432,56
1,4.24,325.87,6734,33
2,16.46,80.56,8814,36
0,1.04,356.84,8946,16
2,15.47,145.77,4315,46
2,8.66,105.55,4700,47
0,-0.20,371.91,5297,11
2,13.96,226.71,689,1
2,8.45,159.01,888,39
2,6.89,328.97,2512,24
0,-0.91,414.22,3332,36
2,21.72,210.10,9166,18
2,21.25,81.84,218,38
0,-1.06,310.04,516,19
2,18.64,198.34,2323,4
2,8.32,223.85,4224,46
2,8.69,242.30,5670,30
1,4.42,343.50,1093,20
2,17.27,197.17,1550,2
2,11.18,283.61,1587,3
1,4.04,357.84,2891,35
2,27.37,132.92,5399,10
